,id,source,console
40,40,来自福建,请看完整片段，不要过分解读哦，是在思考啦
41,41,来自辽宁,总觉得李晨和fbb并没有分
42,42,来自浙江,我好像越来越喜欢这货了
43,43,来自山东,多多关注范丞丞4.28上映的《人生路不熟》吧
44,44,来自浙江,角度问题，所以眼白多
45,45,来自山东,没必要过分解读，接着看下去就会发现其实两个人关系蛮好的
46,46,来自山西,前姐
47,47,来自广东,别过度解
48,48,来自江苏,fcc是飞行嘉宾还是常驻
49,49,来自上海,姐fu…啊不对晨
50,50,来自上海,哈哈哈哈哈我当时没听见里面声音只看到这个表情就觉得是翻白眼 还纳闷了一下里面是谁 看到是李晨笑
51,51,来自内蒙古,搞笑呢，李晨在这个节目他不知道还是咋
52,52,来自安徽,前姐夫
53,53,来自辽宁,不尴尬
54,54,来自内蒙古,这是前继父啊
55,55,来自山东,他们关系挺好的，李晨和范冰冰分手还被拍到过聚餐，人分手又没决
56,56,来自山西,他们的父母真该多生孩子，基因太优良
57,57,来自上海,他俩有啥关
58,58,来自湖南,哈哈哈哈
59,59,来自江苏,咋这么搞笑
60,60,来自安徽,姐夫
61,61,来自广西,我看成范冰
62,62,来自辽宁,想看他俩同
63,63,来自陕西,这不是前夫哥么
64,64,来自江西,看成范冰冰了
65,65,来自广东,不好意思，看错了，以为范丞丞听到李晨声音起反应。
66,66,来自湖南,网友是一天天没事
67,67,来自湖南,能不能不要乱说
68,68,来自广东,翻两个白眼
69,69,来自江苏,这表情怎么了？请问
70,70,来自贵州,欢迎收看人生路不熟，曾少年，199爱
71,71,来自重庆,不要过度解读好嘛，请看完整版
72,72,来自湖北,他会去跑男肯定说明没啥不好的啊，不然都不会去
73,73,来自贵州,请不要恶意解读哦，还是多多关注我们丞4月28日上映的电影《人生路不熟》吧
74,74,来自四川,我之前都没想到，就是看到他的表情，我一下就反应过来了，他们的关系
75,75,来自辽宁,可爱
76,76,来自四川,笑死我了，好明显是知道是熟人“嫌弃”的表情
77,77,来自河南,哈哈哈哈哈
78,78,来自海南,可以说是痛
79,79,来自山东,这只是在想是谁的声音而
80,80,来自北京,哈哈
81,81,来自江苏,这谁啊 真心
82,82,来自陕西,哇喔，可可爱爱，4月28日来看丞丞的新电影《人生路不熟》
83,83,来自江苏,哈哈哈哈哈哈
84,84,来自河北,我跟特别熟悉的人，开玩笑的时候也是这个表情
85,85,来自广东,应该给一个听周扬青说家里电影院那个白眼🙄
86,86,来自广东,好可爱
87,87,来自湖北,灌水太严重了
88,88,来自四川,这小表情，太可爱
89,89,来自安徽,范丞丞挺可爱
90,90,来自江苏,节目效果而已，毕竟才先导片嘛，人家介意就不会来录制这个节目啦！要的就是你们这种效果哇
91,91,来自江苏,没想到
92,92,来自河北,不要过分解读啦 快来看范丞丞的新电影
93,93,来自江西,哈哈，，可
94,94,来自河南,哈哈哈哈哈
95,95,来自山东,李晨是姐
96,96,来自江苏,不管发生什么 我喜欢范丞
97,97,来自北京,前姐夫真的很大气，那时候刚出道就上跑男。
98,98,来自四川,咋的 前姐
99,99,来自河南,第一张图刚开始一秒，好像何
100,100,来自四川,我就觉得很正常，说实话自从鹿晗走了就没再看过跑男了因为这一季喜欢的人好几个决定又可以了
101,101,来自山西,越来越
102,102,来自河南,这热搜是什么答辩都能上啊
103,103,来自河南,他俩不会尴尬吗
104,104,来自北京,笑死我了
105,105,来自四川,差点成为姐夫的人
106,106,,期待《人生路不熟
107,107,,范丞丞4.28电影《人生路不熟》期
108,108,来自广西,后爹对亲妈不好
109,109,来自山东,多少钱买的热
110,110,来自广东,说明李晨是ZN
111,111,来自北京,范丞丞大帅哥简直太可爱
112,112,来自浙江,李这个猥琐憨熊值得这个白眼
113,113,来自福建,关系太好会这样
114,114,来自江苏,说实话不管他翻没翻我就喜欢看他真实的样
115,115,来自江苏,福宝
116,116,来自安徽,哈哈哈哈哈
117,117,来自北京,我看到的是一种见长辈的紧张💗
118,118,来自河南,播了么
119,119,来自湖南,别发这种挑刺的帖子好吗 后面人家关系好得很 别在鸡蛋里挑骨头
120,120,来自吉林,有那闲功夫 不如关注一下范丞丞的新电影 《人生路不熟》4.28上
121,121,来自浙江,你闲的？
122,122,来自河南,丞丞，这碗饭咱就是非要吃吗
123,123,来自湖南,好家伙，标题党网络谣言就是在这里出来的
124,124,来自河南,我觉得他这动作可能是在想他是谁
125,125,来自河南,我咋感觉是想笑，然后后边是在控制表
126,126,来自湖南,哈哈哈哈哈哈哈哈
127,127,来自广东,范冰冰赞
128,128,来自河南,前后
129,129,来自湖北,哈哈哈哈哈哈哈
130,130,来自浙江,不可
131,131,来自海南,真是为了热搜什么都能诋毁吗
132,132,来自北京,这个世界没有跟钱过不去的关
133,133,来自北京,范冰冰是点赞这个吗
134,134,来自山西,断章取义了吧
135,135,来自河南,这是刻意解读吧，要是真有矛盾也不会参加同一档综艺吧
136,136,来自江苏,去趟韩国回来就能成小明星了，内娱早晚完犊
137,137,来自北京,他俩是不是前姐夫的关系
138,138,来自浙江,fcc粉丝好好 路人观感好好 好感up up
139,139,来自安徽,哈哈哈哈哈哈
140,140,来自四川,蓝台是懂剪辑的
141,141,来自山东,不好也正常啊 为啥粉丝都着急
142,142,来自广东,有什么大惊小怪的，人家很正常
143,143,来自贵州,哈哈哈哈哈昨天的丞
144,144,来自广东,服了，这个眼球往上只是代表他在思考事情，脑部在高速运转而已
145,145,来自浙江,范丞丞乖乖的那种，还情商高知道天高地厚的孩
146,146,来自北京,姐夫
147,147,来自上海,这都能上热搜
148,148,来自山西,往后多看两秒吧。。范丞丞只是在思考，而且两人肯定录节目前就见过了啊。。服
149,149,来自天津,前姐
150,150,来自河北,支持人生路不熟
